"ID"	"ENTREZID"	"SYMBOL"	"GENENAME"	"logFC"	"P.Value"	"adj.P.Val"	"GSM11625"	"GSM11757"	"GSM11758"	"GSM11759"	"GSM11760"	"GSM11761"	"GSM11762"	"GSM11763"	"GSM11764"	"GSM11765"	"GSM11766"	"GSM11767"	"GSM11768"	"GSM11769"	"GSM11770"	"GSM11771"	"GSM11772"	"GSM11773"	"GSM11774"	"GSM11775"	"GSM11776"	"GSM11777"	"GSM11778"	"GSM11779"	"GSM68108"	"GSM68109"
"22"	"AB001106_at"	"2764"	"GMFB"	"glia maturation factor beta"	0.728703452169277	0.323423043737009	0.695039070216088	245.95	79.63	236.33	324.57	494.78	299.57	343.23	336.87	386.24	213.28	129.42	97.5	632.07	71.73	113.39	490.18	386.31	515.05	323.33	522.04	2110.88	63.42	53.62	337.04	323.3395889	323.3395889
"23"	"AB001325_at"	"360"	"AQP3"	"aquaporin 3 (Gill blood group)"	0.607852440894719	0.195328330867605	0.574611411165478	529.55	421.01	556.77	601.27	1474.89	944.53	693.37	730.34	870.89	1176.07	430.57	1059.7	1938.91	334.74	536.41	734.68	480.44	513.46	881.6	1573.71	2242.31	564.68	224.94	794.6	881.6026664	881.6026664
"24"	"AB002314_at"	"9758"	"FRMPD4"	"FERM and PDZ domain containing 4"	1.89499332246554	0.0650876537682404	0.380384482739535	20	108.03	20	20	190.28	139.88	58.58	20	28.26	20	20	20	206.04	31.88	64.98	255.88	42.88	56.23	112.79	548.66	1764.19	20	20	129.37	112.7970446	112.7970446
"25"	"AB002315_at"	"9870"	"AREL1"	"apoptosis resistant E3 ubiquitin protein ligase 1"	-0.119910535129378	0.864129631392164	0.999999999999999	128.98	253.94	103.44	183.38	278.98	163.4	125.44	160.8	88.97	106.14	213.54	402.34	213.98	181.71	341.47	132.15	134.64	140.28	20	155.99	202.02	187.82	80.78	214.01	20	20
"26"	"AB002318_at"	"83660"	"TLN2"	"talin 2"	-2.02641432900631	0.0105996182552325	0.217181848845791	636.11	770.18	575.27	845.51	20	1091.85	665.8	903.72	920.08	1228.14	731.73	920.41	157	431.98	598.84	252.48	523.32	194.29	307.77	20	354.62	301.24	344.03	489.78	307.7763768	307.7763768
"27"	"AB002332_at"	"9575"	"CLOCK"	"clock circadian regulator"	-1.37147678531876	0.0737519664507448	0.396081583461614	197.08	370.33	360.8	300.23	49.11	266.15	303.26	256.02	151.77	701.43	411.66	30	33.87	409.66	379.69	149.59	221.5	123.6	169.25	20	102.17	442.72	442.22	321.01	169.2509975	169.2509975
"28"	"AB002356_s_at"	"8567"	"MADD"	"MAP kinase activating death domain"	0.474813422500921	0.10681801907311	0.459833970476342	469.47	644.32	240.53	821.17	876.77	951.96	671.31	517.44	695.03	928.74	452.47	373.41	1055.45	812.95	649.81	646.43	667.78	507.9	456.96	696.81	850.6	652.49	780.68	608.31	456.9614904	456.9614904
"29"	"AB002365_at"	"158471"	"PRUNE2"	"prune homolog 2 with BCH domain"	-2.33324041967614	0.0309262029482253	0.292243170851253	1003.83	960.08	814.13	987.51	131.02	1366.67	1666.56	1215.44	1482.19	1527.04	1237.96	3342.51	20	36.66	1363.33	534.23	434.28	517.11	109.8	155.77	769.75	1511.1	74.51	1005.44	109.8037912	109.8037912
"30"	"AB002366_at"	"23392"	"KIAA0368"	"Ecm29 proteasome adaptor and scaffold"	0.681859262435077	0.186318094642438	0.566870803828431	22.43	32.29	20	20	20	60.65	20	85.34	27.21	20	35.83	91.61	20	43.03	30.57	67.4	85.04	28.91	78.57	20	20	23.17	20	24.53	78.57503355	78.57503355
"31"	"AB002380_at"	"23365"	"ARHGEF12"	"Rho guanine nucleotide exchange factor 12"	-1.74520232344509	0.050719929608773	0.348742561587383	271.58	230.55	161.48	149.3	62.95	189.4	212.28	183.26	215.62	503.17	347.44	537.35	20	140.27	123.59	32.52	260.39	91.98	24.7	20	20	167.08	82.87	58.76	24.70500024	24.70500024
"32"	"AB002382_at"	"1500"	"CTNND1"	"catenin delta 1"	-1.84899265686826	0.0639973573167462	0.378815772142325	1181.69	1384.44	1005.05	1083.26	248.71	1252.78	1847.14	1615.2	1923.91	2150.38	1389.29	3833.25	504.53	567.47	651.08	504.96	584.01	444.67	48.4	121.88	437.61	845.19	412.28	566.4	48.40372156	48.40372156
"33"	"AB002409_at"	"6366"	"CCL21"	"C-C motif chemokine ligand 21"	-1.77049174449487	0.0184232880817035	0.253597454779021	346.09	235.56	349.03	360.27	157.13	243.87	50.31	273.99	283.66	99.63	168.74	195.01	42.69	20	20	163.93	186.79	139.8	164.14	283.23	227.48	20	83.57	255.07	164.1428528	164.1428528
"34"	"AB002533_at"	"6181"	"RPLP2"	"ribosomal protein lateral stalk subunit P2"	-0.0468700129093342	0.879562066294199	0.999999999999999	9034.54	13036.91	13908.42	6696.77	8312.31	7297.57	7234.2	8663.55	5218.02	12211.85	9404.97	6322.33	10129.95	19413.6	7898.42	10334.06	5903.42	7479.23	7446.68	20958.04	6754.72	11071.68	15302.43	9659.85	7446.685723	7446.685723
"35"	"AB002559_at"	"6813"	"STXBP2"	"syntaxin binding protein 2"	-0.429040991874343	0.451213658876639	0.770017724548987	390.96	907.18	415.47	296.17	552.66	743.99	307.39	636.92	490.92	1780.38	557.01	1000.77	762.97	369.81	736.45	153.29	123.01	211.29	231.72	564.96	171.11	485.4	259.76	282.95	231.7255683	231.7255683
"36"	"AB003102_at"	"5717"	"PSMD11"	"proteasome 26S subunit, non-ATPase 11"	-1.06748282117956	0.0229077893905174	0.271395476430064	747.47	483.94	719.93	606.95	151.29	575.63	704.39	512.95	788.19	555.74	677.47	718.43	759.79	237.5	574.63	312.94	394.67	295.17	237.53	148.67	302.71	471.99	130.92	463.07	237.5329916	237.5329916
"37"	"AB003103_at"	"5718"	"PSMD12"	"proteasome 26S subunit, non-ATPase 12"	-0.495549580124871	0.44398123252499	0.765448053113175	197.88	20	145.5	85.2	20	92.84	103.38	66.47	92.11	171.22	128.42	231.44	20	87.67	95.56	78.93	168.8	23.67	79.46	109	202.85	126.84	20	119.85	79.46192345	79.46192345
"38"	"AB003177_at"	"5715"	"PSMD9"	"proteasome 26S subunit, non-ATPase 9"	-0.0480406331927465	0.917203179031473	0.999999999999999	457.45	448.3	440.7	421.13	186.32	472.88	333.58	248.83	220.86	573.76	437.54	594.14	667.35	473.42	537.68	610.66	711.94	561.28	159.53	384.82	653.86	341.49	124.65	722.82	159.5378476	159.5378476
"39"	"AB003698_at"	"8317"	"CDC7"	"cell division cycle 7"	0.598450896082488	0.369542906762493	0.713034748513695	65.69	20	111.01	54.36	133.95	90.36	37.9	20	28.26	193.75	20	51.43	46.04	98.82	101.93	119.14	46.69	63.54	58.12	109.3	383.39	165.86	31.33	171.6	58.12539925	58.12539925
"40"	"AB004884_at"	"11011"	"TLK2"	"tousled like kinase 2"	0.125834738358721	0.679050186174349	0.913934720070514	427.81	219.97	423.04	434.11	335.42	627.62	583.78	441.08	360.08	608.31	334.5	628.96	413.85	401.69	558.07	257.8	401.03	309	299.37	797.76	761.82	546.38	256.28	528.51	299.3765062	299.3765062
"41"	"AB005535_s_at"	"9575"	"CLOCK"	"clock circadian regulator"	-8.88178419700125e-16	0.999999999999998	0.999999999999999	20	20	20	20	20	39.61	20	20	20	125.16	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
"42"	"AB006190_at"	"364"	"AQP7"	"aquaporin 7"	-0.0867675978257694	0.821617213696077	0.982725803159028	349.3	455.54	515.56	387.05	276.84	656.1	337.72	468.93	395.66	629.84	322.06	318.76	1138.54	385.75	386.06	463.87	421.93	436.25	335.44	184.24	1256.47	365.88	185.94	404.48	335.4405193	335.4405193
"43"	"AB006781_s_at"	"3960"	"LGALS4"	"galectin 4"	-0.357675483550946	0.671863465717058	0.912072023835356	59.28	231.66	20	33.26	20	59.42	61.34	47.61	76.41	20	132.4	151.61	20	235.91	219.15	94.75	31.43	20	20	20	129.28	259.77	185.24	153.07	20	20
"44"	"AB006782_at"	"3965"	"LGALS9"	"galectin 9"	0.378463453169591	0.361534848153985	0.709463996476686	1393.19	3466.11	1490.33	1091.38	2047.32	1650.15	1233.04	1147.17	720.16	4287.74	1645.14	1932.43	3125.09	3658.28	2569.95	1497.45	1068.09	1283.18	1752.2	5061.49	1436.51	2002.61	3147.12	1956.47	1752.204487	1752.204487
"45"	"AC000061_cds2_at"	"1080"	"CFTR"	"CF transmembrane conductance regulator"	-0.837604987535133	0.204499921177059	0.584455857407142	282.8	314.08	205.21	278.32	155.23	436.98	229.51	316.21	397.76	751.5	150.82	533.6	786.96	43.03	198.76	96.67	93.03	96.11	102.14	400.53	899.04	252.46	116.99	130.87	102.1458381	102.1458381
"46"	"AC000061_cds3_at"	"1080"	"CFTR"	"CF transmembrane conductance regulator"	0.548696884195076	0.412558852051622	0.743991275042979	20	20	20	20	67.76	20	20	20	20	42.05	20	20	180.99	20	20	20	20	20	20	20	416.62	20	20	20	20	20
"47"	"AC000062_at"	"10129"	"FRY"	"FRY microtubule binding protein"	0.0606038778642999	0.92593462648313	0.999999999999999	20	40.65	20	20	20	20	20	32.34	20	20	20	20	20	20	20	20	20	49.4	58.29	20	597.32	20	20	20	58.295955	58.295955
"48"	"AC000063_s_at"	"6405"	"SEMA3F"	"semaphorin 3F"	0.563777918862196	0.607029360642133	0.876516397584887	209.9	20	292.68	20.28	20	63.13	20	20	86.87	20	54.75	104.47	687.29	291.7	349.11	20	149.54	48.93	360.66	20	160.36	152.45	461.72	80.12	360.6657146	360.6657146
"49"	"AC000064_cds1_at"	"57798"	"GATAD1"	"GATA zinc finger domain containing 1"	-1.66809280450276	0.00966326175919898	0.212083165978209	750.67	716.72	676.2	544.47	186.32	625.15	147.49	712.38	527.55	1747.34	453.97	747.9	562.04	229.53	442.12	194.38	115.38	176.34	366.8	51.36	1152.32	735.42	208.92	138.05	366.8057215	366.8057215
"50"	"AC000064_cds2_at"	"5189"	"PEX1"	"peroxisomal biogenesis factor 1"	-0.475796932975897	0.442764219382611	0.765448053113175	129.78	155.93	189.23	211.78	144.16	196.83	64.78	148.22	148.63	172.23	122.45	140.9	369.04	46.22	44.59	100.81	104.48	222.25	191.5	116.06	827.62	84.15	22.28	118.18	191.5085227	191.5085227
"51"	"AC000066_at"	"10142"	"AKAP9"	"A-kinase anchoring protein 9"	1.35328498470335	0.0689396820924259	0.387867782820006	20	20	20	20	86.7	45.8	20	34.13	20	106.64	20	20	115.54	20	20	55.43	26.34	27.32	110.75	134.18	374.79	20	20	33.88	110.7589034	110.7589034
"52"	"AC000099_at"	"2918"	"GRM8"	"glutamate metabotropic receptor 8"	0.664899815248416	0.388193802813049	0.723636986408961	20	109.15	20	141.18	45.17	20	84.77	44.91	151.77	194.26	130.41	295.19	39.33	47.82	78.99	127.27	76.86	61.64	194.65	152.15	684.61	81.71	20	122.19	194.6552763	194.6552763
"53"	"AC000115_cds1_at"	"51442"	"VGLL1"	"vestigial like family member 1"	-0.718778990578803	0.365526152177875	0.711090804826827	25.63	358.08	20	20	20	20	120.61	20	20	241.82	86.11	197.15	20	51	40.77	20	20	50.04	20	20	20	20	20	20	20	20
"54"	"AC002045_xpt1_at"	"9284"	"LOC101930075"	"nuclear pore complex interacting protein family member A1"	-0.190337909355628	0.819474141804348	0.981790128654897	197.08	20	129.52	196.36	20	295.86	152.32	295.55	302.5	72.09	96.56	271.08	280.66	227.94	307.06	45.67	66.86	20	138.06	92.59	82.16	352.46	41.08	20	138.0648788	138.0648788
"55"	"AC002045_xpt2_s_at"	"9284"	"LOC101060275"	"nuclear pore complex interacting protein family member A1"	-0.861369903617705	0.181263893674324	0.559904027127357	2937.8	2654.71	2146.35	3151.61	1032.24	1572.16	2194.52	2585.41	2327.96	3604.32	2115.04	2344.95	961.25	4710.33	6872.74	1185.25	2445.28	1429.18	617.7	423.28	1304.42	4893.1	6060.24	1350.83	617.7017561	617.7017561
"56"	"AC002073_cds1_at"	"113791"	"PIK3IP1"	"phosphoinositide-3-kinase interacting protein 1"	-0.942235235216912	0.253912595536556	0.636693879757854	143.4	306.84	20	136.32	88.54	20	119.92	199.43	167.47	139.18	133.9	48.75	20	76.51	198.76	20	20	26.53	89.14	165.58	20	80.49	20	20	89.1409622	89.1409622
"57"	"AC002076_cds2_at"	"2792"	"GNGT1"	"G protein subunit gamma transducin 1"	-8.88178419700125e-16	0.999999999999985	0.999999999999999	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
"58"	"AC002077_at"	"2779"	"GNAT1"	"G protein subunit alpha transducin 1"	0.00988321232075684	0.987116341286625	0.999999999999999	145.8	20	20	20	20	20	20	20	20	20	20	20	20	20	108.3	20	20	20	20	343.04	20	20	20	20	20	20
"59"	"AC002086_at"	"10009"	"ZBTB33"	"zinc finger and BTB domain containing 33"	-0.219436062487252	0.501195558334228	0.806944200097966	20	36.75	20	20	20	34.66	37.9	20	41.86	103.63	20	20	20	20	20	20	20	20	20	20	20	21.95	20	20	20	20
"60"	"AC002115_cds1_at"	"1340"	"COX6B1"	"cytochrome c oxidase subunit 6B1"	0.382980533716152	0.39696020675524	0.730302314584439	1746.5	619.82	1838.53	1810.31	2044.31	2293.87	2714.2	2111.09	2793.76	1253.17	1395.26	2162.26	1997.65	1224.2	1395.18	2147.58	1715.71	2661.69	1157.11	2463.79	2526.67	1722.09	458.24	6324.32	1157.118423	1157.118423
"61"	"AC002115_cds3_at"	"2116"	"ETV2"	"ETS variant transcription factor 2"	-0.120906333219942	0.741409732374865	0.945977968467497	281.2	531.27	486.12	452.78	297.73	724.18	633.4	482.4	662.58	904.21	499.26	571.1	801.78	392.12	587.38	340.29	217.32	247.99	321.12	668.85	299.4	645.17	285.53	231.37	321.1223642	321.1223642
"62"	"AC002115_cds4_at"	"11045"	"UPK1A"	"uroplakin 1A"	0.146302780175416	0.368805179380986	0.712803101847976	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	49.82	20	20	20	20	20	20
"63"	"AC002115_rna2_at"	"79171"	"RBM42"	"RNA binding motif protein 42"	-0.380154337117889	0.59625735215452	0.870084061223424	281.2	127.52	254.83	461.7	20	493.93	610.66	607.27	565.24	207.77	233.45	384.66	290.01	395.31	419.19	270.96	389.4	216.69	80.28	240.01	343.54	381.74	153.21	931.99	80.28059104	80.28059104
"64"	"AC002450_at"	"10165"	"SLC25A13"	"solute carrier family 25 member 13"	0.536722875698876	0.190208559445171	0.56981484256537	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	48.78	20	24.3	20	192.03	20	20	20	34.38	20	20
"65"	"AC002464_at"	"85413"	"SLC22A16"	"solute carrier family 22 member 16"	-0.216779109200529	0.294650170492601	0.671200211639477	20	51.79	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	44	20	20	20	20	20	20	20	20
"66"	"AC002477_s_at"	"7737"	"RNF113A"	"ring finger protein 113A"	0.36340790135308	0.348553240396018	0.708084890492594	148.21	80.74	196.8	166.34	98.48	252.53	188.16	235.36	233.42	294.39	106.02	173.58	487.59	232.72	273.94	191.72	196.61	88.17	123.68	165.58	234.92	329.29	324.53	311.83	123.6870292	123.6870292
"67"	"AC002486_at"	"340273"	"ABCB5"	"ATP binding cassette subfamily B member 5"	-0.0527966283967931	0.938564695587882	0.999999999999999	32.04	162.61	82.42	72.21	20	77.98	64.78	126.66	48.15	125.16	85.11	132.32	255.08	49.41	305.79	105.98	55.96	60.84	20	92.79	136.72	118.3	36.91	115.01	20	20
"68"	"AD000092_cds1_at"	"22983"	"MAST1"	"microtubule associated serine/threonine kinase 1"	1.66501997333243	0.169310422674479	0.54710382098897	20	20	217.83	21.9	20	233.96	20	551.57	330.77	20	163.76	264.12	897.39	465.45	347.84	93.27	139.19	290.88	20	20	641.96	467.11	79.39	123.03	20	20
"69"	"AD000092_cds2_at"	"1777"	"DNASE2"	"deoxyribonuclease 2, lysosomal"	0.484074671579121	0.349032124409454	0.708084890492594	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	409.75	20	20	20	20	20	20	20	20	20
"70"	"AD000092_cds7_s_at"	"5886"	"RAD23A"	"RAD23 homolog A, nucleotide excision repair protein"	-3.00015928236604	0.0170074200048694	0.251230361004501	247.55	458.88	169.89	839.83	20	236.44	401.13	166.19	609.2	438.08	352.42	278.58	20	511.68	1065.18	20	20	20	20	20	20	775.67	358.65	71.78	20	20
"71"	"AD000684_cds1_at"	"51599"	"LSR"	"lipolysis stimulated lipoprotein receptor"	-0.576820697765002	0.330558341111726	0.700337142899289	20	20	20	98.99	20	319.38	65.47	70.07	20	20	20	20	20	20	20	20	20	20	20	20	38.35	20	20	69.77	20	20
"72"	"AD001527_cds1_at"	"728361"	"OVOL3"	"ovo like zinc finger 3"	1.47816405457734	0.0412257034290661	0.325047990021413	20	20	117.74	91.69	126.85	224.06	77.19	97.02	213.53	20	165.75	20	595.73	119.55	99.38	128.45	97.76	67.99	123.95	90.45	270.96	130.49	36.21	154.74	123.9513906	123.9513906
"73"	"AF000177_at"	"27257"	"LSM1"	"LSM1 homolog, mRNA degradation associated"	-1.27055766498359	0.213536042189378	0.593225177430759	177.05	261.18	120.26	48.68	20	20	138.53	105.1	20	262.35	141.36	461.81	89.61	145.05	174.55	110.27	20	83.4	20.34	20	242.53	246.36	20	883.58	20.34730085	20.34730085
"74"	"AF000231_at"	"8766"	"RAB11A"	"RAB11A, member RAS oncogene family"	-1.32320874340467	0.0409308380655673	0.324925768249503	131.38	134.76	69.8	95.74	20	86.65	167.48	128.46	106.76	20	48.28	110.89	20	89.26	103.2	31.92	123.74	20	61.01	21.38	211.61	119.52	38.99	20	61.01631919	61.01631919
"75"	"AF000234_at"	"5025"	"P2RX4"	"purinergic receptor P2X 4"	1.07283123047838	0.100747863131008	0.451615033272642	20	20	20	20	20	20	20	20	20	20	20	20	480.89	20	20	39.46	86.13	20	20	78.95	20	20	20	117.35	20	20
"76"	"AF000424_s_at"	"7940"	"LST1"	"leukocyte specific transcript 1"	0.737394184741412	0.311146626278849	0.686071052469911	20	20	20	20	20	20	20	20	20	20	20	20	20	439.95	90.46	20	20	20	20	20	20	82.93	219.37	36.55	20	20
"77"	"AF000430_at"	"10059"	"DNM1L"	"dynamin 1 like"	0.666622116083565	0.266938922955395	0.645429747384468	21.63	20	20	68.16	41.78	20	35.84	61.08	36.63	122.16	20	20	196.69	20	25.48	66.07	20	95.32	58.45	20	20	73.17	20	27.37	58.45798296	58.45798296
"78"	"AF000545_at"	"27334"	"P2RY10"	"P2Y receptor family member 10"	1.74788460063856	0.132008671025749	0.501244483616806	46.46	20	205.21	20	324.43	440.7	20	20	20	20	20	20	1038.52	36.66	20	283.08	86.67	171.41	381.34	88.23	326.35	141.47	20	20	381.3455991	381.3455991
"79"	"AF000560_at"	"126208"	"ZNF787"	"zinc finger protein 787"	-2.107814082603	0.0432131039373566	0.328780324168168	190.67	228.88	262.4	77.89	21.69	20	202.63	147.32	20	219.79	20	446.81	20	20	236.99	312.05	52.15	20	20	20	20	64.63	20	377.94	20	20
"80"	"AF000562_at"	"7379"	"UPK2"	"uroplakin 2"	-0.13606683320465	0.712374764972719	0.934351885778918	794.73	735.1	606.39	767.61	978.58	1153.74	1012.48	1171.43	1069.77	409.04	924.86	1743.85	1350.23	500.52	661.28	399.71	528.23	491.69	774.76	649.61	911.11	617.12	247.22	842.85	774.7665453	774.7665453
"81"	"AF000573_rna1_at"	"3081"	"HGD"	"homogentisate 1,2-dioxygenase"	0.462491392100317	0.213641399066261	0.593225177430759	20	20	20	20	43.87	20	20	20	20	20	20	20	20	20	20	20	20	20	20	163.27	20	20	20	20	20	20
"82"	"AF000959_at"	"7122"	"CLDN5"	"claudin 5"	-0.220371606640144	0.841014723019524	0.990398950614623	20	20	20	189.87	20	20	119.23	20	261.68	20	142.36	20	20	800.19	20	20	20	20	20	20	20	20	32.03	1220.62	20	20
"83"	"AF001294_at"	"7262"	"PHLDA2"	"pleckstrin homology like domain family A member 2"	-0.204154916204224	0.858419924140846	0.997269557888308	93.73	458.32	35.32	20	20	53.23	20	23.35	20	503.17	226.48	777.36	20	94.04	198.76	20	20	125.66	208.78	243.76	20	548.82	20	50.74	208.7858201	208.7858201
"84"	"AF001359_f_at"	"4292"	"MLH1"	"mutL homolog 1"	-0.199644543192937	0.775735154447067	0.961775842144348	334.07	878.22	394.45	413.83	796.06	579.34	450.07	486.89	349.61	1101.47	566.46	388.95	20	1675.31	588.65	305.84	554.4	515.21	376.23	598.41	566.57	943.98	1477.1	357.9	376.2374544	376.2374544
